,Training Data,Metrics,Proposed+confeature,Proposed+conSegmentation,Proposed+conClassifier,Proposed+withoutFeature,Proposed
0,60,accuracy,0.912078853,0.896702509,0.879749104,0.878924731,0.948960573
1,60,sensitivity,0.560372626,0.483518452,0.398781799,0.394661412,0.744715156
2,60,specificity,0.951172886,0.942630133,0.933211199,0.932753196,0.971663547
3,60,precision,0.560573477,0.483691756,0.398924731,0.394802867,0.744982079
4,60,f_measure,0.560473034,0.483605089,0.398853252,0.394732127,0.744848593
5,60,mcc,0.511626991,0.426216461,0.332045877,0.327466758,0.716492807
6,60,npv,0.951135006,0.942592593,0.933174034,0.932716049,0.971624851
7,60,fpr,0.048827114,0.057369867,0.066788801,0.067246804,0.028336453
8,60,fnr,0.439627374,0.516481548,0.601218201,0.605338588,0.255284844
9,60,fdr,0.439426523,0.516308244,0.601075269,0.605197133,0.255017921
10,70,accuracy,0.924731183,0.892520908,0.894480287,0.897968937,0.958136201
11,70,sensitivity,0.623596847,0.462622403,0.472414617,0.489849534,0.790542154
12,70,specificity,0.958208321,0.940312774,0.941401375,0.943339617,0.97676765
13,70,precision,0.623894863,0.462843489,0.472640382,0.490083632,0.790919952
14,70,f_measure,0.623745819,0.462732919,0.472527473,0.489966555,0.790731008
15,70,mcc,0.581928723,0.403020745,0.413903871,0.433281145,0.767472753
16,70,npv,0.958157441,0.940262843,0.941351387,0.943289526,0.976715784
17,70,fpr,0.041791679,0.059687226,0.058598625,0.056660383,0.02323235
18,70,fnr,0.376403153,0.537377597,0.527585383,0.510150466,0.209457846
19,70,fdr,0.376105137,0.537156511,0.527359618,0.509916368,0.209080048
20,80,accuracy,0.919784946,0.900501792,0.916344086,0.915483871,0.968817204
21,80,sensitivity,0.598853868,0.502507163,0.581661891,0.577363897,0.843839542
22,80,specificity,0.955472359,0.944758643,0.953560618,0.953082683,0.982714673
23,80,precision,0.599283154,0.502867384,0.582078853,0.577777778,0.844444444
24,80,f_measure,0.599068434,0.502687209,0.581870297,0.577570763,0.844141885
25,80,mcc,0.554502791,0.447408269,0.535392988,0.530615537,0.826817487
26,80,npv,0.955396256,0.944683393,0.953484667,0.95300677,0.9826364
27,80,fpr,0.044527641,0.055241357,0.046439382,0.046917317,0.017285327
28,80,fnr,0.401146132,0.497492837,0.418338109,0.422636103,0.156160458
29,80,fdr,0.400716846,0.497132616,0.417921147,0.422222222,0.155555556
30,90,accuracy,0.919856631,0.922580645,0.920143369,0.916702509,0.979784946
31,90,sensitivity,0.599141016,0.612741589,0.600572656,0.583392985,0.898353615
32,90,specificity,0.955548474,0.957062057,0.955707799,0.953795905,0.988847288
33,90,precision,0.6,0.613620072,0.601433692,0.584229391,0.899641577
34,90,f_measure,0.599570201,0.613180516,0.601002865,0.583810888,0.898997135
35,90,mcc,0.555042761,0.570166542,0.556634738,0.537531015,0.887765942
36,90,npv,0.955396256,0.956909598,0.955555556,0.953643967,0.988689765
37,90,fpr,0.044451526,0.042937943,0.044292201,0.046204095,0.011152712
38,90,fnr,0.400858984,0.387258411,0.399427344,0.416607015,0.101646385
39,90,fdr,0.4,0.386379928,0.398566308,0.415770609,0.100358423
