,LSTM,CNN,DNN,SVM,KNN,LinkNet,BiLSTM,PROP
accuracy,0.918996416,0.918709677,0.922293907,0.922293907,0.922007168,0.927168459,0.923010753,0.979784946
sensitivity,0.594846099,0.59341446,0.61130995,0.61130995,0.609878311,0.635647817,0.614889048,0.898353615
specificity,0.955070501,0.954911177,0.956902732,0.956902732,0.956743408,0.959611248,0.957301044,0.988847288
precision,0.595698925,0.594265233,0.61218638,0.61218638,0.610752688,0.63655914,0.615770609,0.899641577
f_measure,0.595272206,0.593839542,0.611747851,0.611747851,0.610315186,0.636103152,0.615329513,0.898997135
mcc,0.55026683,0.548674853,0.568574565,0.568574565,0.566982588,0.595638173,0.572554508,0.887765942
npv,0.954918359,0.95475906,0.956750299,0.956750299,0.956591,0.959458383,0.957148546,0.988689765
fpr,0.044929499,0.045088823,0.043097268,0.043097268,0.043256592,0.040388752,0.042698956,0.011152712
fnr,0.405153901,0.40658554,0.38869005,0.38869005,0.390121689,0.364352183,0.385110952,0.101646385
fdr,0.404301075,0.405734767,0.38781362,0.38781362,0.389247312,0.36344086,0.384229391,0.100358423
